"","Cruise","segnum","stlin","endlin","lat1","lon1","DateTime1","lat2","lon2","DateTime2","mlat","mlon","mDateTime","dist","year","month","day","mtime","Mode","EffType","avgSpdKt","avgBft"
"lat",1706,1,12,25,21.1151666666667,-161.481666666667,2017-07-29 06:27:23,21.1230001736434,-161.517983285862,2017-07-29 06:38:53,21.1189826632971,-161.499875816456,2017-07-29 06:33:08,3.8662,2017,7,29,"06:33:08","C","N",10.9,5
"lat1",1706,2,84,245,21.1156666666667,-161.535,2017-07-29 07:58:41,20.9453330525462,-160.868019475776,2017-07-29 11:57:27,21.0341851863635,-161.200236569294,2017-07-29 09:58:04,71.7606,2017,7,29,"09:58:04","C","N",9.75913294506384,6
"lat2",1706,3,254,315,20.9128333333333,-160.856666666667,2017-07-29 12:13:21,20.8826665706479,-160.622848165421,2017-07-29 13:37:19,20.9109925175097,-160.738415914311,2017-07-29 12:55:20,24.8295,2017,7,29,"12:55:20","C","N",9.52646456126556,5.32503472834993
"lat3",1706,4,369,515,20.8705,-160.520666666667,2017-07-29 14:46:47,20.3486652087223,-160.272177749851,2017-07-29 18:15:53,20.6097241203785,-160.403593409628,2017-07-29 16:31:20,64.1668,2017,7,29,"16:31:20","C","N",9.85071041923515,4.58979533631554
"lat4",1706,5,527,550,20.3046666666667,-160.25,2017-07-29 18:33:23,20.2378320039486,-160.217176818619,2017-07-29 18:59:42,20.2712464333679,-160.233635357772,2017-07-29 18:46:32,8.1832,2017,7,29,"18:46:32","C","N",10.0243930799421,5
